timeOpen,timeHigh,timeLow,name,open,high,low,close,volume,marketCap,circulating-supply,marketCap_state,volatility,high_volatility,supply_increase,tags
2024-06-08 00:00:00+00:00,2024-06-08 03:52:00+00:00,2024-06-08 22:30:00+00:00,Synthetix,2.5136822115,2.5341716293,2.3704985931,2.3983749598,27328876.91,786113432.63,327769196.1458578,1,0.023660102159446365,0,0,0
2024-06-07 00:00:00+00:00,2024-06-07 14:52:00+00:00,2024-06-07 18:16:00+00:00,Synthetix,2.7489853486,2.7771700573,2.3483172361,2.5137559628,48919242.71,823931771.24,327769196.1483191,1,0.043575311130437444,0,0,0
2024-06-06 00:00:00+00:00,2024-06-06 00:02:00+00:00,2024-06-06 20:06:00+00:00,Synthetix,2.8068034495,2.8077565587,2.7190187263,2.7489853486,21872336.64,901032717.92,327769196.1431794,1,0.032151343880818604,0,0,0
2024-06-05 00:00:00+00:00,2024-06-05 18:41:00+00:00,2024-06-05 05:16:00+00:00,Synthetix,2.7506228972,2.8219416736,2.7424723004,2.8068034495,27648129.44,919983710.38,327769196.14513254,1,0.05129659064649078,0,0,0
2024-06-04 00:00:00+00:00,2024-06-04 23:53:00+00:00,2024-06-04 00:27:00+00:00,Synthetix,2.6228991004,2.752072766,2.6195536967,2.7506228972,29407827.6,901569455.89,327769196.13653827,1,0.029025582621368572,0,0,0
2024-06-03 00:00:00+00:00,2024-06-03 02:27:00+00:00,2024-06-03 23:49:00+00:00,Synthetix,2.7253207383,2.7491189663,2.6149003613,2.6228991004,49415197.38,859705529.68,327769196.1344957,1,0.018680807159676963,0,0,0
2024-06-02 00:00:00+00:00,2024-06-02 01:34:00+00:00,2024-06-02 18:05:00+00:00,Synthetix,2.8944039964,2.9125869416,2.71517196,2.7253171245,34363343.13,893275003.11,327769196.13488454,1,0.0604450014708248,0,0,0
2024-06-01 00:00:00+00:00,2024-06-01 12:49:00+00:00,2024-06-01 00:25:00+00:00,Synthetix,2.8440043827,2.983818637,2.8352650589,2.8944026516,29206509.53,948696471.21,327769348.4303468,1,0.016259830510446834,0,0,0
2024-05-31 00:00:00+00:00,2024-05-31 12:46:00+00:00,2024-05-31 00:49:00+00:00,Synthetix,2.779793648,2.8714012667,2.7674607886,2.8440043827,25458877.77,932177030.34,327769196.14133054,1,0.056183053152621294,0,0,0
2024-05-30 00:00:00+00:00,2024-05-30 02:46:00+00:00,2024-05-30 07:58:00+00:00,Synthetix,2.8726979672,2.9101440197,2.7517530403,2.779793648,37283497.58,911130729.43,327769196.1363889,1,0.003652389023160397,0,0,0
2024-05-29 00:00:00+00:00,2024-05-29 06:43:00+00:00,2024-05-29 21:35:00+00:00,Synthetix,2.9817450652,3.0297652819,2.8665253966,2.8726977305,32205249.7,941581903.48,327769223.1532189,1,0.039597127581986656,0,0,0
2024-05-28 00:00:00+00:00,2024-05-28 00:19:00+00:00,2024-05-28 18:53:00+00:00,Synthetix,3.1214497421,3.127228328,2.9593119067,2.9817466635,42643072.42,977324706.99,327769196.14049566,1,0.003209731986810518,0,0,0
2024-05-27 00:00:00+00:00,2024-05-27 03:36:00+00:00,2024-05-27 00:14:00+00:00,Synthetix,3.0209265744,3.2835045621,3.002428285,3.1214497421,62390858.23,1023115072.76,327769196.14015144,1,0.006287808444841432,0,0,0
