timeOpen,timeHigh,timeLow,name,open,high,low,close,volume,marketCap,circulating-supply,marketCap_state,volatility,high_volatility,supply_increase,tags
2021-05-13 00:00:00+00:00,2021-05-13 05:35:06+00:00,2021-05-13 00:05:08+00:00,Internet Computer Price,255.6376434,344.9256183,252.0708547,300.02038,886643613.8,37126642317.0,123747067.83919147,1,0.3350888798403988,1,0,1
2021-05-14 00:00:00+00:00,2021-05-14 04:11:08+00:00,2021-05-14 20:39:07+00:00,Internet Computer Price,301.2485062,340.4146826,292.9121655,304.1851779,471523353.9,37703654797.0,123949677.81564613,1,0.1134148095766838,1,0,1
2021-05-15 00:00:00+00:00,2021-05-15 01:22:09+00:00,2021-05-15 19:19:07+00:00,Internet Computer Price,304.0125854,304.7862366,240.2845002,246.0237466,426384679.9,30494564126.0,123949677.81536905,1,0.14501752082058533,1,0,1
2021-05-16 00:00:00+00:00,2021-05-16 06:23:07+00:00,2021-05-16 21:22:07+00:00,Internet Computer Price,245.7715708,263.6380417,205.1498428,225.0867636,362549389.9,27899431824.0,123949677.79438096,1,0.0750258368630717,0,0,0
2021-05-17 00:00:00+00:00,2021-05-17 00:00:10+00:00,2021-05-17 17:29:06+00:00,Internet Computer Price,225.3638576,225.3638576,185.5491067,195.9481017,364815932.4,24287704075.0,123949677.81920594,1,0.03136285289298455,0,0,0
2021-05-18 00:00:00+00:00,2021-05-18 02:01:06+00:00,2021-05-18 23:39:07+00:00,Internet Computer Price,195.577344,205.7008484,161.9789637,164.361829,393520826.2,20372595749.0,123949677.81114191,1,0.022444906734252444,0,0,0
2021-05-19 00:00:00+00:00,2021-05-19 00:45:07+00:00,2021-05-19 13:11:07+00:00,Internet Computer Price,164.0115028,178.6962676,94.29245155,124.2806189,652652876.3,15404542671.0,123949677.81255554,1,0.05845119016716182,0,0,0
2021-05-20 00:00:00+00:00,2021-05-20 07:22:09+00:00,2021-05-20 01:13:07+00:00,Internet Computer Price,122.9456095,222.1440883,104.1538277,165.5618337,1766366511.0,20521335946.0,123949677.81756334,1,0.4073083017423155,1,0,1
2021-05-21 00:00:00+00:00,2021-05-21 01:01:09+00:00,2021-05-21 21:19:09+00:00,Internet Computer Price,164.195431,185.7506823,120.154405,146.152524,872795486.1,18115558258.0,123949677.79003255,1,0.317769770032771,1,0,1
2021-05-22 00:00:00+00:00,2021-05-22 19:32:09+00:00,2021-05-22 05:31:09+00:00,Internet Computer Price,146.200466,167.4713084,125.5326987,145.9528649,504331090.0,18090810574.0,123949677.77025114,1,0.08193026683854997,0,0,0
