timeOpen,timeHigh,timeLow,name,open,high,low,close,volume,marketCap,circulating-supply,marketCap_state,volatility,high_volatility,supply_increase,tags
2024-06-08 00:00:00+00:00,2024-06-08 03:41:00+00:00,2024-06-08 15:10:00+00:00,RSS3,0.327459695,0.345714037,0.310026695,0.322280557,13889700.26,311814748.3,967525783.1331103,1,0.004661202171324803,0,0,0
2024-06-07 00:00:00+00:00,2024-06-07 07:07:00+00:00,2024-06-07 18:16:00+00:00,RSS3,0.34087576,0.362437495,0.316819165,0.327491577,19501915.14,316856544.4,967525782.8081484,1,0.01163558955299638,0,0,0
2024-06-06 00:00:00+00:00,2024-06-06 02:59:00+00:00,2024-06-06 20:06:00+00:00,RSS3,0.319529702,0.35561079,0.314318811,0.340875802,23789042.18,329806087.3,967525665.8435379,1,0.017465332383348922,0,0,0
2024-06-05 00:00:00+00:00,2024-06-05 08:02:00+00:00,2024-06-05 14:32:00+00:00,RSS3,0.312045089,0.328882819,0.309021305,0.319529702,8187307.59,309153225.8,967525785.1302975,1,0.0731786612304898,0,0,0
2024-06-04 00:00:00+00:00,2024-06-04 00:03:00+00:00,2024-06-04 21:32:00+00:00,RSS3,0.332919161,0.335697557,0.306968979,0.312045089,11950009.48,301911669.1,967525783.1088636,1,0.02771681825128632,0,0,0
2024-06-03 00:00:00+00:00,2024-06-03 23:57:00+00:00,2024-06-03 00:07:00+00:00,RSS3,0.282223753,0.335765385,0.280135665,0.332919161,10756023.93,322107872.4,967525784.4350988,1,0.06386464761554689,0,0,0
2024-06-02 00:00:00+00:00,2024-06-02 01:35:00+00:00,2024-06-02 21:14:00+00:00,RSS3,0.287097444,0.2961375,0.282061027,0.282223753,4384108.68,273058758.3,967525785.4713596,1,0.15497647897681457,1,0,1
2024-06-01 00:00:00+00:00,2024-06-01 01:18:00+00:00,2024-06-01 18:36:00+00:00,RSS3,0.301983689,0.3052039,0.28393261,0.287096881,3793232.41,277774179.6,967527681.3613311,1,0.11988452709005687,1,0,1
2024-05-31 00:00:00+00:00,2024-05-31 12:45:00+00:00,2024-05-31 05:51:00+00:00,RSS3,0.292834332,0.313806413,0.290990153,0.301986158,7447627.36,292179393.8,967525782.4234447,1,0.024462084748395885,0,0,0
2024-05-30 00:00:00+00:00,2024-05-30 17:38:00+00:00,2024-05-30 08:26:00+00:00,RSS3,0.283650731,0.312458913,0.276006796,0.292834332,8007898.38,283324766.1,967525782.1203835,1,0.058100811756830045,0,0,0
2024-05-29 00:00:00+00:00,2024-05-29 15:01:00+00:00,2024-05-29 08:15:00+00:00,RSS3,0.278730333,0.28850385,0.277428038,0.283650594,5419592.77,274439263.1,967525783.147135,1,0.0007467751208563073,0,0,0
2024-05-28 00:00:00+00:00,2024-05-28 09:16:00+00:00,2024-05-28 16:47:00+00:00,RSS3,0.286616986,0.291294591,0.274969142,0.278730333,5887277.7,269678784.3,967525785.2183602,1,0.009910345052032718,0,0,0
2024-05-27 00:00:00+00:00,2024-05-27 01:59:00+00:00,2024-05-27 06:57:00+00:00,RSS3,0.296054536,0.298139962,0.279847286,0.286615715,7589265.53,277309324.3,967530075.2437807,1,0.03226992506539125,0,0,0
2024-05-26 00:00:00+00:00,2024-05-26 22:01:00+00:00,2024-05-26 11:50:00+00:00,RSS3,0.299012724,0.304878861,0.291219396,0.296054536,4192185.64,286440397.4,967525785.1816869,1,0.0032821146970869407,0,0,0
2024-05-25 00:00:00+00:00,2024-05-25 11:33:00+00:00,2024-05-25 00:13:00+00:00,RSS3,0.288832873,0.303715095,0.287744183,0.299012724,4469072.31,289302519.9,967525782.9496244,1,0.016220984043758824,0,0,0
2024-05-24 00:00:00+00:00,2024-05-24 01:07:00+00:00,2024-05-24 21:20:00+00:00,RSS3,0.305312453,0.306370881,0.28725406,0.288832865,5262851.13,279453252.1,967525811.5104042,1,0.031138818752797687,0,0,0
2024-05-23 00:00:00+00:00,2024-05-23 12:28:00+00:00,2024-05-23 20:10:00+00:00,RSS3,0.310314115,0.313446013,0.287963929,0.305312453,6490954.75,295397670.5,967525784.1513592,1,0.06441791909202206,0,0,0
2024-05-22 00:00:00+00:00,2024-05-22 00:31:00+00:00,2024-05-22 13:07:00+00:00,RSS3,0.327482898,0.330552601,0.305839327,0.310314115,7077256.94,300236907.2,967525783.350203,1,0.028760637119370578,0,0,0
2024-05-21 00:00:00+00:00,2024-05-21 00:35:00+00:00,2024-05-21 19:36:00+00:00,RSS3,0.335140498,0.337862329,0.319317379,0.327482775,6084511.78,316848147.4,967526146.680539,1,0.02753799335514596,0,0,0
2024-05-20 00:00:00+00:00,2024-05-20 20:38:00+00:00,2024-05-20 14:56:00+00:00,RSS3,0.313558805,0.340795809,0.306746419,0.335148726,5917851.18,324257072.6,967502029.5318086,1,0.02256943275862853,0,0,0
2024-05-19 00:00:00+00:00,2024-05-19 00:07:00+00:00,2024-05-19 21:51:00+00:00,RSS3,0.332817713,0.333700487,0.312721564,0.313558805,3695081.07,301547135.2,961692449.3636848,1,0.062103520684236045,0,0,0
2024-05-18 00:00:00+00:00,2024-05-18 05:28:00+00:00,2024-05-18 14:48:00+00:00,RSS3,0.32208472,0.342618179,0.321582941,0.332817727,4138895.01,320068281.7,961692409.1906918,1,0.08898187411391364,0,0,0
2024-05-17 00:00:00+00:00,2024-05-17 16:43:00+00:00,2024-05-17 01:26:00+00:00,RSS3,0.318256751,0.3309018,0.315888012,0.32208472,5314704.1,309746443.9,961692451.2904555,1,0.06623423351687299,0,0,0
2024-05-16 00:00:00+00:00,2024-05-16 00:14:00+00:00,2024-05-16 15:01:00+00:00,RSS3,0.347386175,0.349747327,0.314449753,0.318256751,5073400.37,306065115.0,961692451.2624086,1,0.014399472101382435,0,0,0
2024-05-15 00:00:00+00:00,2024-05-15 21:06:00+00:00,2024-05-15 00:52:00+00:00,RSS3,0.305681754,0.353005759,0.301891009,0.347378825,5251433.97,334078661.8,961712798.1246411,1,0.07310773055062544,0,0,0
2024-05-14 00:00:00+00:00,2024-05-14 00:39:00+00:00,2024-05-14 17:41:00+00:00,RSS3,0.327660196,0.33272183,0.303359605,0.305681754,4633398.97,293971835.1,961692450.5739391,1,0.14958023433655168,1,0,1
2024-05-13 00:00:00+00:00,2024-05-13 01:13:00+00:00,2024-05-13 03:41:00+00:00,RSS3,0.344879544,0.346041603,0.319879802,0.327660196,6263206.76,315108337.2,961692451.6519547,1,0.13571725204547988,1,0,1
2024-05-12 00:00:00+00:00,2024-05-12 05:40:00+00:00,2024-05-12 03:29:00+00:00,RSS3,0.349969689,0.359027741,0.343856043,0.344879544,4749051.51,331668053.4,961692449.3497938,1,0.013680603568842126,0,0,0
2024-05-11 00:00:00+00:00,2024-05-11 23:08:00+00:00,2024-05-11 11:32:00+00:00,RSS3,0.336213117,0.358140276,0.334879063,0.349969975,5464629.92,336563482.9,961692450.6166564,1,0.026723283533223882,0,0,0
2024-05-10 00:00:00+00:00,2024-05-10 03:03:00+00:00,2024-05-10 16:44:00+00:00,RSS3,0.355322378,0.364471169,0.332628099,0.336213117,5642437.13,323333616.3,961692450.268084,1,0.03823234907935176,0,0,0
2024-05-09 00:00:00+00:00,2024-05-09 16:18:00+00:00,2024-05-09 11:05:00+00:00,RSS3,0.344688331,0.363358964,0.336887132,0.355319009,5199404.54,341710848.2,961701568.2940847,1,0.06797800076763509,0,0,0
2024-05-08 00:00:00+00:00,2024-05-08 15:02:00+00:00,2024-05-08 23:10:00+00:00,RSS3,0.356734635,0.365871615,0.342811273,0.344688331,5588919.49,187978923.5,545359116.0299535,1,0.061338272122126856,0,0,0
2024-05-07 00:00:00+00:00,2024-05-07 08:41:00+00:00,2024-05-07 23:59:00+00:00,RSS3,0.365004688,0.392952542,0.356733789,0.356734635,6360256.49,194548485.1,545359115.7471995,1,0.04586795324482192,0,0,0
