id,name,symbol,slug,num_market_pairs,date_added,tags,circulating_supply,total_supply,infinite_supply,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,quote.USD.price,quote.USD.volume_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.market_cap,quote.USD.last_updated,max_supply,platform
825,Tether USDt,USDT,tether,83440,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",109031963304.87448,111941048614.43317,True,3,,,,2024-04-28T00:01:55.993Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,1.0005511018681186,63558115212.81,0.01166402,0.0556736,0.00012624,109092051023.53644,2024-04-28T00:01:55.993Z,,
3408,USDC,USDC,usd-coin,18549,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",33086079162.260338,33086079162.26034,False,6,,,,2024-04-28T00:01:55.993Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1.0001622264470744,8537096533.8,0.00975975,0.01588616,-0.01513506,33091446599.330456,2024-04-28T00:01:55.993Z,,
5994,Shiba Inu,SHIB,shiba-inu,794,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",589289410812691.0,589534086491242.2,False,11,,,,2024-04-28T00:01:55.993Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2.2779774545974e-05,463771988.48,-0.25640194,3.1792764,-17.24737265,13423879920.642954,2024-04-28T00:01:55.993Z,,
1975,Chainlink,LINK,chainlink,1734,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",587099970.4527867,1000000000.0,False,16,,,,2024-04-28T00:01:55.993Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,13.893053443932436,348386193.45,-0.01048566,5.76960897,-20.83739698,8156611266.43172,2024-04-28T00:01:55.993Z,1000000000.0,
8916,Internet Computer,ICP,internet-computer,234,2021-03-23T00:00:00.000Z,"['platform', 'distributed-computing', 'collectibles-nfts', 'defi', 'privacy', 'interoperability', 'smart-contracts', 'dao', 'wallet', 'storage', 'polychain-capital-portfolio', 'governance', 'launchpad', 'lending-borowing', 'metaverse', 'electric-capital-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'a16z-portfolio', 'multicoin-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'internet-computer-ecosystem', 'bitcoin-ecosystem', 'real-world-assets', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'depin']",462882062.7893676,517754019.98814386,True,20,463159627.9564853,5914211692.222343,,2024-04-28T00:01:55.993Z,8916.0,ICP,ICP,internet-computer,ryjl3-tyaaa-aaaaa-aaaba-cai,12.769272914214351,145021911.53,-0.19424257,7.67713695,-17.7422578,5910667386.851938,2024-04-28T00:01:55.993Z,,
3957,UNUS SED LEO,LEO,unus-sed-leo,46,2019-05-21T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",926591564.9,985239504.0,False,21,,,,2024-04-28T00:01:55.993Z,1027.0,Ethereum,ETH,ethereum,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,5.8546951320997,2393596.32,-0.00714098,0.17484717,0.78028451,5424911124.464673,2024-04-28T00:01:55.993Z,,
4943,Dai,DAI,multi-collateral-dai,3184,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",5347888595.746408,5347888595.7464075,True,22,,,,2024-04-28T00:01:55.993Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,1.0000287563912507,287247588.57,0.00593131,0.00553597,-0.0058156,5348042381.723232,2024-04-28T00:01:55.993Z,,
7083,Uniswap,UNI,uniswap,999,2020-09-17T00:00:00.000Z,"['decentralized-exchange-dex-token', 'defi', 'dao', 'yield-farming', 'amm', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'governance', 'blockchain-capital-portfolio', 'defiance-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'parafi-capital', 'paradigm-portfolio', 'arbitrum-ecosytem', 'injective-ecosystem', 'optimism-ecosystem', 'cmc-crypto-awards-2024']",598736139.71,1000000000.0,False,23,,,,2024-04-28T00:01:55.993Z,1027.0,Ethereum,ETH,ethereum,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,7.295998672262077,140464365.53,-0.12171594,6.02474978,-20.42651273,4368378080.359482,2024-04-28T00:01:55.993Z,1000000000.0,
27075,Mantle,MNT,mantle,61,2023-07-17T11:00:31.000Z,"['ethereum-ecosystem', 'layer-2', 'dwf-labs-portfolio']",3264441707.836841,6219316794.99,False,26,1843669839.0,2155667035.2112427,,2024-04-28T00:01:55.993Z,1027.0,Ethereum,ETH,ethereum,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,1.1692261757563214,83216712.12,-0.3901503,1.62231005,-8.09513552,3816870694.0335045,2024-04-28T00:01:55.993Z,6219316795.0,
26081,First Digital USD,FDUSD,first-digital-usd,289,2023-07-26T04:26:40.000Z,"['stablecoin', 'ethereum-ecosystem', 'binance-smart-chain', 'usd-stablecoin']",3673766597.2400002,3673766597.24,False,27,,,,2024-04-28T00:01:55.993Z,1027.0,Ethereum,ETH,ethereum,0xc5f0f7b66764F6ec8C8Dff7BA683102295E16409,0.9997663353991862,7843033344.92,-0.00994331,0.00293836,-0.07695037,3672908168.034573,2024-04-28T00:01:55.993Z,,
