id,name,symbol,slug,num_market_pairs,date_added,tags,circulating_supply,total_supply,infinite_supply,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,quote.USD.price,quote.USD.volume_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.market_cap,quote.USD.last_updated,max_supply,platform
825,Tether USDt,USDT,tether,82037,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",107051666082.89915,110942615136.6704,True,3,,,,2024-04-27T23:58:01.322Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,0.9997634120615129,70338237085.8,0.00821331,-0.04027919,-0.04620373,107026338949.90898,2024-04-27T23:58:01.322Z,,
3408,USDC,USDC,usd-coin,18039,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",32294081633.222637,32294081633.222637,False,7,,,,2024-04-27T23:58:01.322Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.9999925556780331,7949691377.7,-0.01232211,-0.02178972,-0.00033794,32293841225.681335,2024-04-27T23:58:01.322Z,,
5994,Shiba Inu,SHIB,shiba-inu,788,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",589289410812691.0,589534086491242.2,False,12,,,,2024-04-27T23:58:01.322Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2.7468138577329e-05,677622295.4,-0.96947661,-4.38519979,4.12562972,16186683198.355555,2024-04-27T23:58:01.322Z,,
1975,Chainlink,LINK,chainlink,1714,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",587099970.4527867,1000000000.0,False,16,,,,2024-04-27T23:58:01.322Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,17.36273702175052,351149960.04,-0.77875003,-4.07670938,-3.34345797,10193662392.449236,2024-04-27T23:58:01.322Z,1000000000.0,
8916,Internet Computer,ICP,internet-computer,231,2021-03-23T00:00:00.000Z,"['platform', 'distributed-computing', 'collectibles-nfts', 'defi', 'privacy', 'interoperability', 'smart-contracts', 'dao', 'wallet', 'storage', 'polychain-capital-portfolio', 'governance', 'launchpad', 'lending-borowing', 'metaverse', 'electric-capital-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'a16z-portfolio', 'multicoin-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'internet-computer-ecosystem', 'bitcoin-ecosystem', 'real-world-assets', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'depin']",462278691.4332312,517300648.6323074,True,19,463159627.9564853,7440122872.320445,,2024-04-27T23:58:01.322Z,8916.0,ICP,ICP,internet-computer,ryjl3-tyaaa-aaaaa-aaaba-cai,16.06384154237955,177459626.37,-0.9941745,-9.70680469,-10.22582072,7425971647.601996,2024-04-27T23:58:01.322Z,,
7083,Uniswap,UNI,uniswap,983,2020-09-17T00:00:00.000Z,"['decentralized-exchange-dex-token', 'defi', 'dao', 'yield-farming', 'amm', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'governance', 'blockchain-capital-portfolio', 'defiance-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'parafi-capital', 'paradigm-portfolio', 'arbitrum-ecosytem', 'injective-ecosystem', 'optimism-ecosystem', 'cmc-crypto-awards-2024']",598736139.71,1000000000.0,False,21,,,,2024-04-27T23:58:01.322Z,1027.0,Ethereum,ETH,ethereum,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,11.225677860799012,150021906.76,0.00235015,-3.47297693,-0.73269319,6721219028.002811,2024-04-27T23:58:01.322Z,1000000000.0,
3957,UNUS SED LEO,LEO,unus-sed-leo,46,2019-05-21T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",926702798.9000001,985239504.0,False,22,,,,2024-04-27T23:58:01.322Z,1027.0,Ethereum,ETH,ethereum,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,5.824787331215528,1660843.23,0.11818705,-0.35193317,-3.70218159,5397846722.834691,2024-04-27T23:58:01.322Z,,
4943,Dai,DAI,multi-collateral-dai,3159,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",5347888595.7464075,5347888595.7464075,True,23,,,,2024-04-27T23:58:01.322Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,0.9998977541539411,427618489.0,-0.00553322,-0.00837921,-0.00673957,5347341796.352306,2024-04-27T23:58:01.322Z,,
27075,Mantle,MNT,mantle,60,2023-07-17T11:00:31.000Z,"['ethereum-ecosystem', 'layer-2', 'dwf-labs-portfolio']",3264441707.83684,6219316794.99,False,28,1843669839.0,2512214684.8316274,,2024-04-27T23:58:01.322Z,1027.0,Ethereum,ETH,ethereum,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,1.36261635987615,82565652.55,-0.00660201,-5.24487958,7.58007526,4448181676.960518,2024-04-27T23:58:01.322Z,6219316795.0,
11841,Arbitrum,ARB,arbitrum,850,2023-03-23T12:50:11.000Z,"['scaling', 'dao', 'dapp', 'ethereum-ecosystem', 'polychain-capital-portfolio', 'layer-2', 'rollups', 'pantera-capital-portfolio', 'arbitrum-ecosytem', 'modular-blockchain', 'egirl-capital-portfolio']",2653939384.0,10000000000.0,False,30,,,,2024-04-27T23:58:01.322Z,11841.0,Arbitrum,ARB,arbitrum,0x912CE59144191C1204E64559FE8253a0e49E6548,1.4836371233554808,449258429.29,-1.82119451,-5.56126994,2.41856213,3937482993.237577,2024-04-27T23:58:01.322Z,,
22974,Bittensor,TAO,bittensor,27,2023-03-06T05:20:00.000Z,"['ai-big-data', 'distributed-computing', 'oracles', 'dao', 'polkadot-ecosystem', 'polychain-capital-portfolio', 'dcg-portfolio', 'open-source', 'generative-ai', 'depin']",6568219.0,6568219.0,False,31,,,,2024-04-27T23:58:01.322Z,,,,,,591.7631778899383,44904533.61,-0.86993859,4.15666372,13.00772139,3886830148.5170727,2024-04-27T23:58:01.322Z,21000000.0,
10603,Immutable,IMX,immutable-x,277,2021-06-24T00:00:00.000Z,"['collectibles-nfts', 'zero-knowledge-proofs', 'gaming', 'scaling', 'layer-2', 'rollups', 'arrington-xrp-capital-portfolio', 'alameda-research-portfolio']",1423019954.3898141,2000000000.0,False,34,570354831.0,1506984592.570781,,2024-04-27T23:58:01.322Z,1027.0,Ethereum,ETH,ethereum,0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,2.6421878288092926,52171357.76,-0.83540921,-6.99899295,-0.54651778,3759886003.6415215,2024-04-27T23:58:01.322Z,2000000000.0,
