id,name,symbol,slug,num_market_pairs,date_added,tags,circulating_supply,total_supply,infinite_supply,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,quote.USD.price,quote.USD.volume_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.market_cap,quote.USD.last_updated,max_supply,platform
825,Tether USDt,USDT,tether,82141,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",107189305522.75916,110941048614.45586,True,3,,,,2024-04-27T23:58:31.250Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,1.0001173363168558,68657000943.53,0.00356175,0.0354008,-0.02003884,107201882721.07553,2024-04-27T23:58:31.250Z,,
3408,USDC,USDC,usd-coin,18065,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",32135178259.862244,32135178259.862244,False,7,,,,2024-04-27T23:58:31.250Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1.0001638158474069,7603456292.71,0.00763899,0.01712614,0.01657087,32140442511.320454,2024-04-27T23:58:31.250Z,,
5994,Shiba Inu,SHIB,shiba-inu,789,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",589289410812691.0,589534086491242.2,False,12,,,,2024-04-27T23:58:31.250Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2.8049643488204e-05,622344416.04,0.12690599,2.11701608,6.39698739,16529357884.669771,2024-04-27T23:58:31.250Z,,
1975,Chainlink,LINK,chainlink,1714,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",587099970.4527868,1000000000.0,False,16,,,,2024-04-27T23:58:31.250Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,17.42534742276222,369699834.88,-0.15761106,0.36060214,-1.58849014,10230420957.033243,2024-04-27T23:58:31.250Z,1000000000.0,
8916,Internet Computer,ICP,internet-computer,231,2021-03-23T00:00:00.000Z,"['platform', 'distributed-computing', 'collectibles-nfts', 'defi', 'privacy', 'interoperability', 'smart-contracts', 'dao', 'wallet', 'storage', 'polychain-capital-portfolio', 'governance', 'launchpad', 'lending-borowing', 'metaverse', 'electric-capital-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'a16z-portfolio', 'multicoin-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'internet-computer-ecosystem', 'bitcoin-ecosystem', 'real-world-assets', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'depin']",462306042.4341665,517327999.6332427,True,19,463159627.9564853,7392513885.303684,,2024-04-27T23:58:31.250Z,8916.0,ICP,ICP,internet-computer,ryjl3-tyaaa-aaaaa-aaaba-cai,15.961049795985726,198567773.22,0.47439263,-0.63989517,-10.65875733,7378889764.276821,2024-04-27T23:58:31.250Z,,
7083,Uniswap,UNI,uniswap,988,2020-09-17T00:00:00.000Z,"['decentralized-exchange-dex-token', 'defi', 'dao', 'yield-farming', 'amm', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'governance', 'blockchain-capital-portfolio', 'defiance-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'parafi-capital', 'paradigm-portfolio', 'arbitrum-ecosytem', 'injective-ecosystem', 'optimism-ecosystem', 'cmc-crypto-awards-2024']",598736139.71,1000000000.0,False,21,,,,2024-04-27T23:58:31.250Z,1027.0,Ethereum,ETH,ethereum,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,10.029284400420723,436295220.17,-0.19140181,-10.65765003,-7.82137171,6004895025.961626,2024-04-27T23:58:31.250Z,1000000000.0,
3957,UNUS SED LEO,LEO,unus-sed-leo,46,2019-05-21T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",926692957.9,985239504.0,False,22,,,,2024-04-27T23:58:31.250Z,1027.0,Ethereum,ETH,ethereum,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,5.9668442477143495,2826051.89,-0.21921023,2.43883439,2.53418287,5529432545.2430105,2024-04-27T23:58:31.250Z,,
4943,Dai,DAI,multi-collateral-dai,3161,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",5347888595.7464075,5347888595.7464075,True,23,,,,2024-04-27T23:58:31.250Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,1.000109537361307,350570100.48,-0.00940937,0.02118049,0.00851066,5348474389.351749,2024-04-27T23:58:31.250Z,,
27075,Mantle,MNT,mantle,60,2023-07-17T11:00:31.000Z,"['ethereum-ecosystem', 'layer-2', 'dwf-labs-portfolio']",3264441707.8368406,6219316794.99,False,28,1843669839.0,2452256062.2443066,,2024-04-27T23:58:31.250Z,1027.0,Ethereum,ETH,ethereum,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,1.3300950150458617,69513428.76,-1.06870931,-2.38668387,7.39609725,4342017642.501581,2024-04-27T23:58:31.250Z,6219316795.0,
11841,Arbitrum,ARB,arbitrum,851,2023-03-23T12:50:11.000Z,"['scaling', 'dao', 'dapp', 'ethereum-ecosystem', 'polychain-capital-portfolio', 'layer-2', 'rollups', 'pantera-capital-portfolio', 'arbitrum-ecosytem', 'modular-blockchain', 'egirl-capital-portfolio']",2653939384.0,10000000000.0,False,30,,,,2024-04-27T23:58:31.250Z,11841.0,Arbitrum,ARB,arbitrum,0x912CE59144191C1204E64559FE8253a0e49E6548,1.4663459133464247,320187259.62,-0.11077327,-1.16546086,-0.86859798,3891593169.9975276,2024-04-27T23:58:31.250Z,,
22974,Bittensor,TAO,bittensor,27,2023-03-06T05:20:00.000Z,"['ai-big-data', 'distributed-computing', 'oracles', 'dao', 'polkadot-ecosystem', 'polychain-capital-portfolio', 'dcg-portfolio', 'open-source', 'generative-ai', 'depin']",6573909.000000001,6573909.0,False,32,,,,2024-04-27T23:58:31.250Z,,,,,,571.2411010369366,66281226.24,0.90878553,-3.46795435,2.59764419,3755287015.276627,2024-04-27T23:58:31.250Z,21000000.0,
10603,Immutable,IMX,immutable-x,277,2021-06-24T00:00:00.000Z,"['collectibles-nfts', 'zero-knowledge-proofs', 'gaming', 'scaling', 'layer-2', 'rollups', 'arrington-xrp-capital-portfolio', 'alameda-research-portfolio']",1423019954.3898141,2000000000.0,False,34,570354831.0,1493472479.1911616,,2024-04-27T23:58:31.250Z,1027.0,Ethereum,ETH,ethereum,0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,2.618497114458844,55320369.31,0.16208017,-0.89663248,-3.86273506,3726173644.387084,2024-04-27T23:58:31.250Z,2000000000.0,
28752,dogwifhat,WIF,dogwifhat,238,2023-12-19T09:08:50.000Z,"['memes', 'solana-ecosystem', 'doggone-doggerel']",998920172.8900001,998920172.89,False,36,,,,2024-04-27T23:58:31.250Z,5426.0,Solana,SOL,solana,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,3.624915772142074,621066367.76,-0.57067236,1.02782918,-0.1342966,3621001489.8198485,2024-04-27T23:58:31.250Z,,
5690,Render,RNDR,render,358,2020-06-11T00:00:00.000Z,"['art', 'media', 'vr-ar', 'ai-big-data', 'distributed-computing', 'collectibles-nfts', 'scaling', 'video', 'ethereum-ecosystem', 'solana-ecosystem', 'metaverse', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'polygon-ecosystem', 'web3', 'generative-ai', 'depin']",381861234.2928149,532065943.5728149,False,37,,,,2024-04-27T23:58:31.250Z,1027.0,Ethereum,ETH,ethereum,0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24,9.224244341704445,143975580.46,0.17038207,-2.00385089,-1.62333084,3522381329.741773,2024-04-27T23:58:31.250Z,536870912.0,
3897,OKB,OKB,okb,120,2019-04-30T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'discount-token', 'alameda-research-portfolio', 'x1-ecosystem']",60000000.00000001,300000000.0,False,38,246638974.0,14192952279.682482,,2024-04-27T23:58:31.250Z,1027.0,Ethereum,ETH,ethereum,0x75231f58b43240c9718dd58b4967c5114342a86c,57.54545621683653,7062720.74,0.1711973,1.0672899,2.71379246,3452727373.010192,2024-04-27T23:58:31.250Z,,
26081,First Digital USD,FDUSD,first-digital-usd,280,2023-07-26T04:26:40.000Z,"['stablecoin', 'ethereum-ecosystem', 'binance-smart-chain', 'usd-stablecoin']",3298025456.8300004,3298025456.83,False,41,,,,2024-04-27T23:58:31.250Z,1027.0,Ethereum,ETH,ethereum,0xc5f0f7b66764F6ec8C8Dff7BA683102295E16409,1.000761770025626,10937614892.88,0.03011942,0.18782765,0.11116844,3300537793.7667646,2024-04-27T23:58:31.250Z,,
6719,The Graph,GRT,the-graph,458,2020-12-17T00:00:00.000Z,"['ai-big-data', 'enterprise-solutions', 'defi', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'analytics', 'coinfund-portfolio', 'dcg-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'ledgerprime-portfolio', 'multicoin-capital-portfolio', 'parafi-capital', 'polygon-ecosystem', 'fantom-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'spartan-group', 'injective-ecosystem']",9457079950.706987,10796294780.137611,False,42,,,,2024-04-27T23:58:31.250Z,1027.0,Ethereum,ETH,ethereum,0xc944e90c64b2c07662a292be6244bdf05cda44a7,0.3284393713502302,90208661.07,-0.18949226,-1.36146281,-0.44326519,3106077393.819069,2024-04-27T23:58:31.250Z,,
7226,Injective,INJ,injective,355,2020-09-29T00:00:00.000Z,"['pos', 'platform', 'cosmos-ecosystem', 'ai-big-data', 'defi', 'smart-contracts', 'cosmos', 'binance-smart-chain', 'binance-launchpad', 'binance-labs-portfolio', 'cms-holdings-portfolio', 'pantera-capital-portfolio', 'web3', 'injective-ecosystem', 'layer-1']",93399999.99999999,100000000.0,False,43,,,,2024-04-27T23:58:31.250Z,7226.0,Injective,INJ,injective,inj,33.13159366496851,111630041.29,0.17263242,-0.0590971,0.5387173,3094490848.3080587,2024-04-27T23:58:31.250Z,,
1518,Maker,MKR,maker,467,2017-01-29T00:00:00.000Z,"['store-of-value', 'defi', 'dao', 'polychain-capital-portfolio', 'governance', 'lending-borowing', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'paradigm-portfolio', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'spartan-group', 'bnb-chain', 'real-world-assets', 'standard-crypto-portfolio']",924709.71575451,977631.03695089,False,44,,,,2024-04-27T23:58:31.250Z,1027.0,Ethereum,ETH,ethereum,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,3338.5729841654106,100824128.76,0.2447259,-1.64158892,-12.17652855,3087210875.213283,2024-04-27T23:58:31.250Z,1005577.0,
11840,Optimism,OP,optimism-ethereum,506,2022-05-31T16:19:46.000Z,"['layer-2', 'optimism-ecosystem', 'modular-blockchain']",1006141600.0000001,4294967296.0,False,46,,,,2024-04-27T23:58:31.250Z,11840.0,Optimism,OP,optimism-ethereum,0x4200000000000000000000000000000000000042,3.036270628082019,254227834.43,-0.01194473,-0.20416161,-0.65530164,3054918187.7714477,2024-04-27T23:58:31.250Z,4294967296.0,
24478,Pepe,PEPE,pepe,355,2023-04-17T06:18:08.000Z,['memes'],420689899999994.75,420689899999994.8,False,47,420690000000000.0,3003980226.4576077,,2024-04-27T23:58:31.250Z,1027.0,Ethereum,ETH,ethereum,0x6982508145454ce325ddbe47a25d4ec3d2311933,7.140602882069e-06,583467842.77,-0.30972064,1.49721205,4.75155539,3003979512.397282,2024-04-27T23:58:31.250Z,420690000000000.0,
8000,Lido DAO,LDO,lido-dao,381,2020-12-15T00:00:00.000Z,"['defi', 'dao', 'three-arrows-capital-portfolio', 'paradigm-portfolio', 'arbitrum-ecosytem', 'liquid-staking-derivatives', 'optimism-ecosystem', 'standard-crypto-portfolio', 'egirl-capital-portfolio']",891729570.3328472,1000000000.0,False,51,891714367.3990936,2338470434.1062284,,2024-04-27T23:58:31.250Z,1027.0,Ethereum,ETH,ethereum,0x5a98fcbea516cf06857215779fd812ca3bef1b32,2.622443373798,87997485.76,0.06105579,-2.15940945,2.88462143,2338510302.939113,2024-04-27T23:58:31.250Z,1000000000.0,
