id,name,symbol,slug,num_market_pairs,date_added,tags,circulating_supply,total_supply,infinite_supply,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,quote.USD.price,quote.USD.volume_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.market_cap,quote.USD.last_updated,max_supply,platform
825,Tether USDt,USDT,tether,81510,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",106601457935.07362,109942615136.74486,True,3,,,,2024-04-27T23:56:06.477Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,1.0002735168387709,64371464432.92,-0.00388186,-0.01089887,-0.02160907,106630615228.85638,2024-04-27T23:56:06.477Z,,
3408,USDC,USDC,usd-coin,17940,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",32922982629.525673,32922982629.525673,False,6,,,,2024-04-27T23:56:06.477Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.9998554177566307,13790745235.19,-0.01436403,-0.01849335,-0.00248452,32918222550.838688,2024-04-27T23:56:06.477Z,,
5994,Shiba Inu,SHIB,shiba-inu,785,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",589289410812691.0,589534086491242.2,False,12,,,,2024-04-27T23:56:06.477Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2.6833266966292e-05,564855707.27,0.1673376,-3.02544519,-12.87778694,15812560080.745857,2024-04-27T23:56:06.477Z,,
1975,Chainlink,LINK,chainlink,1711,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",587099970.4527868,1000000000.0,False,16,,,,2024-04-27T23:56:06.477Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,17.34749783441943,359156923.62,0.27677626,-2.50883287,-8.66583925,10184715466.01743,2024-04-27T23:56:06.477Z,1000000000.0,
8916,Internet Computer,ICP,internet-computer,231,2021-03-23T00:00:00.000Z,"['platform', 'distributed-computing', 'collectibles-nfts', 'defi', 'privacy', 'interoperability', 'smart-contracts', 'dao', 'wallet', 'storage', 'polychain-capital-portfolio', 'governance', 'launchpad', 'lending-borowing', 'metaverse', 'electric-capital-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'a16z-portfolio', 'multicoin-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'internet-computer-ecosystem', 'bitcoin-ecosystem', 'real-world-assets', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'depin']",461981225.94804215,517003183.14711845,True,18,463159627.9564853,7816175627.749659,,2024-04-27T23:56:06.477Z,8916.0,ICP,ICP,internet-computer,ryjl3-tyaaa-aaaaa-aaaba-cai,16.875770589581705,195734154.3,-0.27136595,-5.29329332,-1.97684284,7796289185.7928705,2024-04-27T23:56:06.477Z,,
7083,Uniswap,UNI,uniswap,979,2020-09-17T00:00:00.000Z,"['decentralized-exchange-dex-token', 'defi', 'dao', 'yield-farming', 'amm', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'governance', 'blockchain-capital-portfolio', 'defiance-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'parafi-capital', 'paradigm-portfolio', 'arbitrum-ecosytem', 'injective-ecosystem', 'optimism-ecosystem', 'cmc-crypto-awards-2024']",598736139.71,1000000000.0,False,21,,,,2024-04-27T23:56:06.477Z,1027.0,Ethereum,ETH,ethereum,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,10.929664455454212,135577608.45,-0.12573272,-0.43345367,-13.65599378,6543985104.384254,2024-04-27T23:56:06.477Z,1000000000.0,
4943,Dai,DAI,multi-collateral-dai,3152,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",5347888595.7464075,5347888595.7464075,True,22,,,,2024-04-27T23:56:06.477Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,1.0000449191844853,776652924.13,0.00704258,0.00130655,0.00185482,5348128818.540847,2024-04-27T23:56:06.477Z,,
3957,UNUS SED LEO,LEO,unus-sed-leo,46,2019-05-21T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",926739918.9000001,985239504.0,False,23,,,,2024-04-27T23:56:06.477Z,1027.0,Ethereum,ETH,ethereum,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,5.761575466421851,3106822.11,-0.10082388,3.23972421,-5.39607585,5339481980.488016,2024-04-27T23:56:06.477Z,,
27075,Mantle,MNT,mantle,60,2023-07-17T11:00:31.000Z,"['ethereum-ecosystem', 'layer-2', 'dwf-labs-portfolio']",3187644283.73314,6219316794.99,False,28,1843669839.0,2517743795.428665,,2024-04-27T23:56:06.477Z,1027.0,Ethereum,ETH,ethereum,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,1.3656153299086784,115419894.94,0.17333527,-3.03902632,15.55781083,4353095900.161745,2024-04-27T23:56:06.477Z,6219316795.0,
11841,Arbitrum,ARB,arbitrum,848,2023-03-23T12:50:11.000Z,"['scaling', 'dao', 'dapp', 'ethereum-ecosystem', 'polychain-capital-portfolio', 'layer-2', 'rollups', 'pantera-capital-portfolio', 'arbitrum-ecosytem', 'modular-blockchain', 'egirl-capital-portfolio']",2653939384.0,10000000000.0,False,30,,,,2024-04-27T23:56:06.477Z,11841.0,Arbitrum,ARB,arbitrum,0x912CE59144191C1204E64559FE8253a0e49E6548,1.434671145531562,313976570.72,0.09777027,-1.6975911,-12.8387482,3807530256.2146077,2024-04-27T23:56:06.477Z,,
