id,name,symbol,slug,num_market_pairs,date_added,tags,circulating_supply,total_supply,infinite_supply,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,quote.USD.price,quote.USD.volume_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.market_cap,quote.USD.last_updated,max_supply,platform
825,Tether USDt,USDT,tether,82529,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",107306343185.09915,110941048614.45586,True,3,,,,2024-04-27T23:59:22.174Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,1.0004477781440864,96319763858.55,0.02155525,-0.01020046,0.01742137,107354392620.29927,2024-04-27T23:59:22.174Z,,
3408,USDC,USDC,usd-coin,18365,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",31937609548.580376,31937609548.580376,False,6,,,,2024-04-27T23:59:22.174Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.9999615182286321,10539883881.36,0.01490744,-0.03519959,0.01061158,31936380532.79169,2024-04-27T23:59:22.174Z,,
5994,Shiba Inu,SHIB,shiba-inu,789,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",589289410812691.0,589534086491242.2,False,12,,,,2024-04-27T23:59:22.174Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2.481396389751e-05,1070458949.16,1.5061081,-9.85772474,-7.52537166,14622606165.091055,2024-04-27T23:59:22.174Z,,
1975,Chainlink,LINK,chainlink,1722,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",587099970.4527868,1000000000.0,False,16,,,,2024-04-27T23:59:22.174Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,15.157101011154673,943280037.92,0.96525879,-13.63485535,-12.62658652,8898733555.798813,2024-04-27T23:59:22.174Z,1000000000.0,
8916,Internet Computer,ICP,internet-computer,231,2021-03-23T00:00:00.000Z,"['platform', 'distributed-computing', 'collectibles-nfts', 'defi', 'privacy', 'interoperability', 'smart-contracts', 'dao', 'wallet', 'storage', 'polychain-capital-portfolio', 'governance', 'launchpad', 'lending-borowing', 'metaverse', 'electric-capital-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'a16z-portfolio', 'multicoin-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'internet-computer-ecosystem', 'bitcoin-ecosystem', 'real-world-assets', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'depin']",462399257.48777205,517421214.6868483,True,18,463159627.9564853,6464614402.347846,,2024-04-27T23:59:22.174Z,8916.0,ICP,ICP,internet-computer,ryjl3-tyaaa-aaaaa-aaaba-cai,13.95763795491089,245122029.34,0.92767958,-10.08698833,-17.29184821,6454001426.633941,2024-04-27T23:59:22.174Z,,
3957,UNUS SED LEO,LEO,unus-sed-leo,46,2019-05-21T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",926670400.9,985239504.0,False,21,,,,2024-04-27T23:59:22.174Z,1027.0,Ethereum,ETH,ethereum,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,5.7901281244111535,2202135.49,-0.11300885,-0.33114508,0.49557032,5365540350.310449,2024-04-27T23:59:22.174Z,,
4943,Dai,DAI,multi-collateral-dai,3166,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",5347888595.7464075,5347888595.7464075,True,22,,,,2024-04-27T23:59:22.174Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,0.9998993656893311,555052153.06,-0.00279833,-0.01875355,-0.0145547,5347350414.664041,2024-04-27T23:59:22.174Z,,
7083,Uniswap,UNI,uniswap,994,2020-09-17T00:00:00.000Z,"['decentralized-exchange-dex-token', 'defi', 'dao', 'yield-farming', 'amm', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'governance', 'blockchain-capital-portfolio', 'defiance-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'parafi-capital', 'paradigm-portfolio', 'arbitrum-ecosytem', 'injective-ecosystem', 'optimism-ecosystem', 'cmc-crypto-awards-2024']",598736139.7099999,1000000000.0,False,23,,,,2024-04-27T23:59:22.174Z,1027.0,Ethereum,ETH,ethereum,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,7.9395195174085575,460629712.1,-0.11907663,-13.40798106,-27.35806712,4753677267.005402,2024-04-27T23:59:22.174Z,1000000000.0,
26081,First Digital USD,FDUSD,first-digital-usd,282,2023-07-26T04:26:40.000Z,"['stablecoin', 'ethereum-ecosystem', 'binance-smart-chain', 'usd-stablecoin']",3956563916.8199997,3956563916.82,False,25,,,,2024-04-27T23:59:22.174Z,1027.0,Ethereum,ETH,ethereum,0xc5f0f7b66764F6ec8C8Dff7BA683102295E16409,1.0029964734997299,11215537235.94,-0.0114989,0.24589032,-0.04572486,3968419655.7467384,2024-04-27T23:59:22.174Z,,
27075,Mantle,MNT,mantle,60,2023-07-17T11:00:31.000Z,"['ethereum-ecosystem', 'layer-2', 'dwf-labs-portfolio']",3264441707.8368406,6219316794.99,False,28,1843669839.0,2138990220.6822758,,2024-04-27T23:59:22.174Z,1027.0,Ethereum,ETH,ethereum,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,1.1601807305382055,96027777.3,1.99456549,-8.80613604,-15.04337238,3787342365.397533,2024-04-27T23:59:22.174Z,6219316795.0,
